FIPS,# of Food Insecure Persons Overall (1 Year)
18143,3960
18145,5350
18147,2060
18149,3300
18151,3750
18153,2700
18155,1870
18157,24180
18159,1620
18161,710
18163,25330
18165,2240
18167,16390
18169,3670
18171,910
18173,5250
18175,3730
18177,9690
18179,2790
18181,2510
18183,3530
19001,630
19003,320
19005,1040
19007,1640
19009,440
19011,1770
19013,12900
19015,1700
19017,1340
19019,1380
19021,1290
19023,1170
19025,730
19027,1280
19029,1070
19031,1120
19033,3560
19035,900
19037,840
19039,1020
19041,1420
19043,1730
19045,4840
19047,1750
19049,4060
19051,610
19053,810
19055,1070
19057,4520
19059,1260
19061,7700
19063,760
19065,1830
19067,1570
19069,820
19071,430
19073,770
19075,630
19077,760
19079,960
19081,870
19083,1310
19085,1030
19087,1710
19089,620
19091,890
19093,550
19095,1050
19097,1650
19099,2960
19101,1790
19103,11510
19105,1610
19107,970
19109,1290
19111,3340
19113,16980
19115,760
19117,870
19119,460
19121,990
19123,2090
19125,2410
19127,3390
19129,970
19131,620
19133,850
19135,720
19137,910
19139,3100
19141,1060
19143,440
19145,1390
19147,610
19149,1500
19151,520
19153,38870
19155,8010
19157,1540
19159,390
19161,650
19163,15060
19165,790
19167,1320
19169,7140
19171,1400
19173,380
19175,1210
19177,670
19179,3880
19181,2910
19183,1540
19185,620
19187,3690
19189,800
19191,1430
19193,8500
19195,500
19197,1070
20001,1660
20003,920
20005,1970
20007,610
20009,3020
20011,1860
20013,1190
20015,7050
20017,240
20019,530
20021,2690
20023,250
20025,200
20027,820
20029,920
20031,950
20033,190
20035,4470
20037,5560
20039,380
20041,1970
20043,880
20045,13900
20047,230
20049,340
20051,2820
20053,540
20055,2920
20057,2480
20059,2860
20061,4430
20063,260
20065,260
20067,560
20069,290
20071,110
20073,740
20075,160
20077,690
20079,3550
20081,270
20083,170
20085,1460
20087,1560
20089,340
20091,42860
20093,410
20095,660
20097,220
20099,2750
20101,160
20103,7540
20105,300
20107,1320
20109,290
20111,3450
20113,2550
20115,1100
20117,830
20119,310
20121,2940
20123,650
